news_source,agree_disagree,bias_rating,news_source_internal_url,agree,disagree,perc_agree,rating_num
Estes Park Trail Gazette,agree disagree 353/422,center,https://www.allsides.com/news-source/estes-park-trail-gazette,353,422,0.45548387096774196,3.0
Ethan Horowitz,agree disagree 49/73,right-center,https://www.allsides.com/news-source/ethan-horowitz-media-bias,49,73,0.4016393442622951,4.0
Eugene B. Kogan,agree disagree 18/20,center,https://www.allsides.com/news-source/eugene-b-kogan-media-bias,18,20,0.47368421052631576,3.0
Eugene Robinson,agree disagree 428/277,left,https://www.allsides.com/news-source/eugene-robinson,428,277,0.6070921985815603,1.0
Eurek Alert,agree disagree 455/504,center,https://www.allsides.com/news-source/eurek-alert,455,504,0.4744525547445255,3.0
Evansville Courier & Press,agree disagree 28/27,center,https://www.allsides.com/news-source/evansville-courier-press-media-bias,28,27,0.509090909090909,3.0
Everett Herald,agree disagree 20/16,center,https://www.allsides.com/news-source/everett-herald-media-bias,20,16,0.5555555555555556,3.0
Evie Magazine,agree disagree 363/191,right-center,https://www.allsides.com/news-source/evie-magazine-media-bias,363,191,0.6552346570397112,4.0
Ezra Klein,agree disagree 751/484,left,https://www.allsides.com/news-source/ezra-klein,751,484,0.6080971659919029,1.0
FAIR,agree disagree 740/835,left-center,https://www.allsides.com/news-source/fair-media-bias,740,835,0.46984126984126984,2.0
Fairmont Sentinel,agree disagree 16/18,center,https://www.allsides.com/news-source/fairmont-sentinel-media-bias,16,18,0.47058823529411764,3.0
Falls Church News - Press,agree disagree 609/537,left,https://www.allsides.com/news-source/falls-church-news-press,609,537,0.5314136125654451,1.0
Family Research Council,agree disagree 578/924,right-center,https://www.allsides.com/news-source/family-research-council,578,924,0.3848202396804261,4.0
Fareed Zakaria,agree disagree 655/1143,center,https://www.allsides.com/news-source/fareed-zakaria,655,1143,0.364293659621802,3.0
Farhad Manjoo,agree disagree 64/62,left-center,https://www.allsides.com/news-source/farhad-manjoo-media-bias,64,62,0.5079365079365079,2.0
Fayetteville Flyer,agree disagree 12/9,center,https://www.allsides.com/news-source/fayetteville-flyer-media-bias,12,9,0.5714285714285714,3.0
Federation of American Scientists,agree disagree 462/589,left-center,https://www.allsides.com/news-source/federation-american-scientists,462,589,0.439581351094196,2.0
FEE.org,agree disagree 854/288,right-center,https://www.allsides.com/news-source/feeorg-media-bias,854,288,0.7478108581436077,4.0
FFX Now,agree disagree 10/9,center,https://www.allsides.com/news-source/ffx-now-media-bias,10,9,0.5263157894736842,3.0
Financial Times,agree disagree 1429/938,center,https://www.allsides.com/news-source/financial-times-media-bias,1429,938,0.6037177862272919,3.0
Fiona Harrigan,agree disagree 26/32,center,https://www.allsides.com/news-source/fiona-harrigan-media-bias,26,32,0.4482758620689655,3.0
First Coast News,agree disagree 17/16,center,https://www.allsides.com/news-source/first-coast-news-media-bias,17,16,0.5151515151515151,3.0
Fiscal Times,agree disagree 809/723,right-center,https://www.allsides.com/news-source/fiscal-times,809,723,0.5280678851174935,4.0
Florida Daily,agree disagree 10/11,center,https://www.allsides.com/news-source/florida-daily-media-bias,10,11,0.47619047619047616,3.0
Florida Insider,agree disagree 15/14,center,https://www.allsides.com/news-source/florida-insider-media-bias,15,14,0.5172413793103449,3.0
Florida Politics,agree disagree 54/122,center,https://www.allsides.com/news-source/florida-politics-media-bias,54,122,0.3068181818181818,3.0
Florida Times-Union,agree disagree 14/17,center,https://www.allsides.com/news-source/florida-times-union-media-bias,14,17,0.45161290322580644,3.0
Florida Today,agree disagree 19/21,center,https://www.allsides.com/news-source/florida-today-media-bias,19,21,0.475,3.0
Florida's Voice,agree disagree 41/44,right,https://www.allsides.com/news-source/floridas-voice-media-bias,41,44,0.4823529411764706,5.0
Floyd County Chronicle & Times,agree disagree 21/21,center,https://www.allsides.com/news-source/floyd-county-chronicle-times-media-bias,21,21,0.5,3.0
Food Democracy Now,agree disagree 211/238,left-center,https://www.allsides.com/news-source/food-democracy-now,211,238,0.46993318485523383,2.0
Forbes,agree disagree 16757/11666,center,https://www.allsides.com/news-source/forbes,16757,11666,0.589557752524364,3.0
Foreign Affairs,agree disagree 1301/781,center,https://www.allsides.com/news-source/foreign-affairs,1301,781,0.6248799231508165,3.0
Foreign Policy,agree disagree 576/630,center,https://www.allsides.com/news-source/foreign-policy-media-bias,576,630,0.47761194029850745,3.0
Fort Bend Star,agree disagree 13/11,center,https://www.allsides.com/news-source/fort-bend-star-media-bias,13,11,0.5416666666666666,3.0
Fort Worth Business Press,agree disagree 16/17,center,https://www.allsides.com/news-source/fort-worth-business-press-media-bias,16,17,0.48484848484848486,3.0
Fort Worth Report,agree disagree 9/5,center,https://www.allsides.com/news-source/forth-worth-report-media-bias,9,5,0.6428571428571429,3.0
Fort Worth Star-Telegram,agree disagree 90/122,center,https://www.allsides.com/news-source/fort-worth-star-telegram-media-bias,90,122,0.42452830188679247,3.0
Fortune,agree disagree 352/613,center,https://www.allsides.com/news-source/fortune,352,613,0.36476683937823834,3.0
Forward,agree disagree 24/41,center,https://www.allsides.com/news-source/forward-media-bias,24,41,0.36923076923076925,3.0
Foundation Against Intolerance and Racism,agree disagree 33/108,center,https://www.allsides.com/news-source/foundation-against-intolerance-and-racism-media-bias,33,108,0.23404255319148937,3.0
FOX 10 Phoenix,agree disagree 57/24,center,https://www.allsides.com/news-source/fox-10-phoenix-media-bias,57,24,0.7037037037037037,3.0
FOX 13 Salt Lake City,agree disagree 59/25,center,https://www.allsides.com/news-source/fox-13-salt-lake-city-media-bias,59,25,0.7023809523809523,3.0
Fox 13 Seattle,agree disagree 76/37,center,https://www.allsides.com/news-source/fox-13-seattle-media-bias,76,37,0.672566371681416,3.0
Fox 17 West Michigan,agree disagree 57/21,center,https://www.allsides.com/news-source/fox-17-west-michigan-media-bias,57,21,0.7307692307692307,3.0
FOX 2 Detroit,agree disagree 9/8,center,https://www.allsides.com/news-source/fox-2-detroit-media-bias,9,8,0.5294117647058824,3.0
FOX 23 Maine,agree disagree 51/17,center,https://www.allsides.com/news-source/fox-23-maine-media-bias,51,17,0.75,3.0
FOX 25 KOKH,agree disagree 48/16,center,https://www.allsides.com/news-source/fox-25-kokh-media-bias,48,16,0.75,3.0
Fox 28 WTTE,agree disagree 49/20,center,https://www.allsides.com/news-source/fox-28-wtte-media-bias,49,20,0.7101449275362319,3.0
Fox 29 KABB,agree disagree 53/21,center,https://www.allsides.com/news-source/fox-29-kabb-media-bias,53,21,0.7162162162162162,3.0
Fox 29 Philadelphia,agree disagree 57/20,center,https://www.allsides.com/news-source/fox-29-philadelphia-media-bias,57,20,0.7402597402597403,3.0
Fox 4 Kansas City,agree disagree 74/32,center,https://www.allsides.com/news-source/fox-4-kansas-city-media-bias,74,32,0.6981132075471698,3.0
Fox 42 KPTM,agree disagree 49/12,center,https://www.allsides.com/news-source/fox-42-kptm-media-bias,49,12,0.8032786885245902,3.0
FOX 43 WPMT,agree disagree 7/2,center,https://www.allsides.com/news-source/fox-43-wpmt-media-bias,7,2,0.7777777777777778,3.0
Fox 5 Atlanta,agree disagree 70/28,center,https://www.allsides.com/news-source/fox-5-atlanta-media-bias,70,28,0.7142857142857143,3.0
Fox 5 DC,agree disagree 12/7,center,https://www.allsides.com/news-source/fox-5-dc-media-bias,12,7,0.631578947368421,3.0
FOX 5 KVVU,agree disagree 51/22,center,https://www.allsides.com/news-source/fox-5-kvvu-media-bias,51,22,0.6986301369863014,3.0
Fox 56 WDKY,agree disagree 50/18,center,https://www.allsides.com/news-source/fox-56-wdky-media-bias,50,18,0.7352941176470589,3.0
Fox 59,agree disagree 58/26,center,https://www.allsides.com/news-source/fox-59-media-bias,58,26,0.6904761904761905,3.0
Fox 6 WBRC,agree disagree 49/18,center,https://www.allsides.com/news-source/fox-6-wbrc-media-bias,49,18,0.7313432835820896,3.0
Fox Business,agree disagree 656/480,right-center,https://www.allsides.com/news-source/fox-business-media-bias,656,480,0.5774647887323944,4.0
FOX Carolina WHNS,agree disagree 54/19,center,https://www.allsides.com/news-source/fox-carolina-whns-media-bias,54,19,0.7397260273972602,3.0
Fox Nebraska KFXL,agree disagree 51/22,center,https://www.allsides.com/news-source/fox-nebraska-kfxl-media-bias,51,22,0.6986301369863014,3.0
Fox News (Online News),agree disagree 58793/56424,right,https://www.allsides.com/news-source/fox-news-media-bias,58793,56424,0.5102806009529843,5.0
Fox News (Opinion),agree disagree 36471/8485,right,https://www.allsides.com/news-source/fox-news-editorial-media-bias,36471,8485,0.8112598985674883,5.0
Fox News Latino,agree disagree 3016/1390,right,https://www.allsides.com/news-source/fox-news-latino,3016,1390,0.6845211075805719,5.0
Fox16,agree disagree 58/26,center,https://www.allsides.com/news-source/fox16-media-bias,58,26,0.6904761904761905,3.0
Fox21,agree disagree 89/49,center,https://www.allsides.com/news-source/fox21-media-bias,89,49,0.644927536231884,3.0
Fox9,agree disagree 117/85,center,https://www.allsides.com/news-source/fox9-media-bias,117,85,0.5792079207920792,3.0
Frank Bruni,agree disagree 237/282,left-center,https://www.allsides.com/news-source/frank-bruni,237,282,0.45664739884393063,2.0
Frank Miniter,agree disagree 444/491,right,https://www.allsides.com/news-source/frank-miniter,444,491,0.4748663101604278,5.0
Franklin D. Kramer,agree disagree 38/35,center,https://www.allsides.com/news-source/franklin-d-kramer-media-bias,38,35,0.5205479452054794,3.0
Franklin Favorite,agree disagree 20/18,center,https://www.allsides.com/news-source/franklin-favorite-media-bias,20,18,0.5263157894736842,3.0
Freakonomics,agree disagree 526/333,center,https://www.allsides.com/news-source/freakonomics,526,333,0.6123399301513388,3.0
Frederick News-Post,agree disagree 20/20,center,https://www.allsides.com/news-source/frederick-news-post-media-bias,20,20,0.5,3.0
Free Press,agree disagree 41/115,left,https://www.allsides.com/news-source/free-press-media-bias,41,115,0.26282051282051283,1.0
Frida Ghitis,agree disagree 45/60,left-center,https://www.allsides.com/news-source/frida-ghitis-media-bias,45,60,0.42857142857142855,2.0
Froma Harrop,agree disagree 146/147,left-center,https://www.allsides.com/news-source/froma-harrop,146,147,0.49829351535836175,2.0
FrontPage Magazine,agree disagree 704/591,right,https://www.allsides.com/news-source/frontpage-magazine,704,591,0.5436293436293437,5.0
G. Michael Killenberg,agree disagree 15/21,center,https://www.allsides.com/news-source/g-michael-killenberg-media-bias,15,21,0.4166666666666667,3.0
Gabrielle Giffords,agree disagree 104/127,left-center,https://www.allsides.com/news-source/gabrielle-giffords-media-bias,104,127,0.45021645021645024,2.0
Gail Collins,agree disagree 183/174,left,https://www.allsides.com/news-source/gail-collins-media-bias,183,174,0.5126050420168067,1.0
Gainesville Daily Register,agree disagree 7/10,center,https://www.allsides.com/news-source/gainesville-daily-register-media-bias,7,10,0.4117647058823529,3.0
Gainesville Sun,agree disagree 21/28,center,https://www.allsides.com/news-source/gainesville-sun-media-bias,21,28,0.42857142857142855,3.0
Gallatin News,agree disagree 16/17,center,https://www.allsides.com/news-source/gallatin-news-media-bias,16,17,0.48484848484848486,3.0
Galveston County The Daily News,agree disagree 14/17,center,https://www.allsides.com/news-source/galveston-county-daily-news-media-bias,14,17,0.45161290322580644,3.0
Gary Markstein (cartoonist),agree disagree 90/120,center,https://www.allsides.com/news-source/gary-markstein-cartoonist,90,120,0.42857142857142855,3.0
Gary Varvel (cartoonist),agree disagree 127/130,right,https://www.allsides.com/news-source/gary-varvel-cartoonist,127,130,0.49416342412451364,5.0
Gay City News,agree disagree 22/34,left-center,https://www.allsides.com/news-source/gay-city-news-media-bias,22,34,0.39285714285714285,2.0
Gay Times,agree disagree 24/36,left-center,https://www.allsides.com/news-source/gay-times-media-bias,24,36,0.4,2.0
GayBuzzer,agree disagree 17/38,center,https://www.allsides.com/news-source/gaybuzzer-media-bias,17,38,0.3090909090909091,3.0
GayNewsToday,agree disagree 53/16,left,https://www.allsides.com/news-source/gaynewstoday-media-bias,53,16,0.7681159420289855,1.0
GayStarNews,agree disagree 47/15,left,https://www.allsides.com/news-source/gaystarnews-media-bias,47,15,0.7580645161290323,1.0
GB News,agree disagree 22/17,right-center,https://www.allsides.com/news-source/gb-news-media-bias,22,17,0.5641025641025641,4.0
Gell,agree disagree 165/134,allsides,https://www.allsides.com/news-source/gell-media-bias,165,134,0.5518394648829431,
George W. Bush,agree disagree 259/168,right-center,https://www.allsides.com/news-source/george-w-bush-media-bias,259,168,0.6065573770491803,4.0
George Will,agree disagree 717/1191,right,https://www.allsides.com/news-source/george-will,717,1191,0.3757861635220126,5.0
Georgia Asian Times,agree disagree 30/35,center,https://www.allsides.com/news-source/georgia-asian-times-media-bias,30,35,0.46153846153846156,3.0
Georgia Law News,agree disagree 20/44,center,https://www.allsides.com/news-source/georgia-law-news-media-bias,20,44,0.3125,3.0
Georgia Recorder,agree disagree 28/37,center,https://www.allsides.com/news-source/georgia-recorder-media-bias,28,37,0.4307692307692308,3.0
Georgia Voice,agree disagree 61/18,left,https://www.allsides.com/news-source/georgia-voice-media-bias,61,18,0.7721518987341772,1.0
Gigafact,agree disagree 18/22,center,https://www.allsides.com/news-source/gigafact-media-bias,18,22,0.45,3.0
Gillette News Record,agree disagree 26/25,center,https://www.allsides.com/news-source/gillette-news-record-media-bias,26,25,0.5098039215686274,3.0
Gina Baleria,agree disagree 66/77,left-center,https://www.allsides.com/news-source/gina-baleria-media-bias,66,77,0.46153846153846156,2.0
Gizmodo,agree disagree 472/334,left-center,https://www.allsides.com/news-source/gizmodo,472,334,0.5856079404466501,2.0
GLAAD,agree disagree 121/373,left-center,https://www.allsides.com/news-source/glaad-media-bias,121,373,0.24493927125506074,2.0
GLAAD,agree disagree 95/24,left,https://www.allsides.com/news-source/glaad-media-bias-0,95,24,0.7983193277310925,1.0
Glenn Beck,agree disagree 1156/462,right,https://www.allsides.com/news-source/glenn-beck,1156,462,0.7144622991347342,5.0
Glenn Greenwald,agree disagree 386/370,center,https://www.allsides.com/news-source/glenn-greenwald-media-bias,386,370,0.5105820105820106,3.0
Glenn Harlan Reynolds,agree disagree 69/136,right-center,https://www.allsides.com/news-source/glenn-harlan-reynolds-media-bias,69,136,0.33658536585365856,4.0
Glenn Loury,agree disagree 112/18,center,https://www.allsides.com/news-source/glenn-loury-media-bias,112,18,0.8615384615384616,3.0
Glenn McCoy (cartoonist),agree disagree 94/144,right,https://www.allsides.com/news-source/glenn-mccoy-cartoonist,94,144,0.3949579831932773,5.0
Global Disinformation Index,agree disagree 149/59,left,https://www.allsides.com/news-source/global-disinformation-index-media-bias,149,59,0.7163461538461539,1.0
Global News,agree disagree 172/144,left-center,https://www.allsides.com/news-source/global-news-media-bias,172,144,0.5443037974683544,2.0
Gloria Steinem,agree disagree 98/49,left,https://www.allsides.com/news-source/gloria-steinem-media-bias,98,49,0.6666666666666666,1.0
GoLocal Providence,agree disagree 67/51,center,https://www.allsides.com/news-source/golocal-providence-media-bias,67,51,0.5677966101694916,3.0
Good Faith Media,agree disagree 17/17,left-center,https://www.allsides.com/news-source/good-faith-media-media-bias,17,17,0.5,2.0
Good News Magazine,agree disagree 16/63,right-center,https://www.allsides.com/news-source/good-news-magazine-media-bias,16,63,0.20253164556962025,4.0
Google News,agree disagree 1336/1038,left-center,https://www.allsides.com/news-source/google-news-media-bias,1336,1038,0.5627632687447346,2.0
GOP.gov,agree disagree 683/353,right,https://www.allsides.com/news-source/gopgov,683,353,0.6592664092664092,5.0
Gothamist,agree disagree 40/83,center,https://www.allsides.com/news-source/gothamist-media-bias,40,83,0.3252032520325203,3.0
GQ.com,agree disagree 299/337,left-center,https://www.allsides.com/news-source/gqcom-media-bias,299,337,0.470125786163522,2.0
Grand Forks Herald,agree disagree 15/12,center,https://www.allsides.com/news-source/grand-forks-herald-media-bias,15,12,0.5555555555555556,3.0
Green Bay Press-Gazette,agree disagree 20/23,center,https://www.allsides.com/news-source/green-bay-press-gazette-media-bias,20,23,0.46511627906976744,3.0
Greenfield Daily Reporter,agree disagree 17/19,center,https://www.allsides.com/news-source/greenfield-daily-reporter-media-bias,17,19,0.4722222222222222,3.0
Greenwich Time,agree disagree 19/21,center,https://www.allsides.com/news-source/greenwich-time-media-bias,19,21,0.475,3.0
Greg Gutfeld,agree disagree 42/43,right-center,https://www.allsides.com/news-source/greg-gutfeld-media-bias,42,43,0.49411764705882355,4.0
Greg Sargent,agree disagree 81/40,left,https://www.allsides.com/news-source/greg-sargent-media-bias,81,40,0.6694214876033058,1.0
Grid,agree disagree 25/28,left-center,https://www.allsides.com/news-source/grid-media-bias,25,28,0.4716981132075472,2.0
Grist,agree disagree 615/627,left-center,https://www.allsides.com/news-source/grist,615,627,0.49516908212560384,2.0
Grover Norquist,agree disagree 516/269,right,https://www.allsides.com/news-source/grover-norquist,516,269,0.6573248407643312,5.0
Guest Writer - Center,agree disagree 158/211,center,https://www.allsides.com/news-source/guest-writer-center-media-bias,158,211,0.4281842818428184,3.0
Guest Writer - Left,agree disagree 313/398,left-center,https://www.allsides.com/news-source/guest-writer-left,313,398,0.44022503516174405,2.0
Guest Writer - Right,agree disagree 354/478,right-center,https://www.allsides.com/news-source/guest-writer-right,354,478,0.4254807692307692,4.0
Guy Benson,agree disagree 13/68,right,https://www.allsides.com/news-source/guy-benson-media-bias,13,68,0.16049382716049382,5.0
H.R. McMaster,agree disagree 92/65,center,https://www.allsides.com/news-source/hr-mcmaster-media-bias,92,65,0.5859872611464968,3.0
Haaretz,agree disagree 135/259,left-center,https://www.allsides.com/news-source/haaretz-media-bias,135,259,0.3426395939086294,2.0
Hampton Roads Messenger,agree disagree 459/461,center,https://www.allsides.com/news-source/hampton-roads-messanger,459,461,0.4989130434782609,3.0
Harlan Enterprise,agree disagree 11/12,center,https://www.allsides.com/news-source/harlan-enterprise-media-bias,11,12,0.4782608695652174,3.0
Harrison Daily Times,agree disagree 19/16,center,https://www.allsides.com/news-source/harrison-daily-times-media-bias,19,16,0.5428571428571428,3.0
Harry Ding,agree disagree 18/13,center,https://www.allsides.com/news-source/harry-ding-media-bias,18,13,0.5806451612903226,3.0
Hartford Business Journal,agree disagree 14/20,left-center,https://www.allsides.com/news-source/hartford-business-journal-media-bias,14,20,0.4117647058823529,2.0
Hartford Courant,agree disagree 30/29,center,https://www.allsides.com/news-source/hartford-courant-media-bias,30,29,0.5084745762711864,3.0
Harvard Business School,agree disagree 895/1130,left-center,https://www.allsides.com/news-source/harvard-business-school,895,1130,0.4419753086419753,2.0
Hasan Piker,agree disagree 277/38,left,https://www.allsides.com/news-source/hasan-piker-media-bias,277,38,0.8793650793650793,1.0
Hastings Tribune,agree disagree 25/27,center,https://www.allsides.com/news-source/hastings-tribune-media-bias,25,27,0.4807692307692308,3.0
Hattiesburg American,agree disagree 20/18,center,https://www.allsides.com/news-source/hattiesburg-american-media-bias,20,18,0.5263157894736842,3.0
Hawaii News Now,agree disagree 20/20,center,https://www.allsides.com/news-source/hawaii-news-now-media-bias-0,20,20,0.5,3.0
Hawaii News Now,agree disagree 22/24,center,https://www.allsides.com/news-source/hawaii-news-now-media-bias,22,24,0.4782608695652174,3.0
Hawaii News Online,agree disagree 10/11,center,https://www.allsides.com/news-source/hawaii-news-online-media-bias,10,11,0.47619047619047616,3.0
Hawaii Public Radio,agree disagree 17/81,center,https://www.allsides.com/news-source/hawaii-public-radio-media-bias,17,81,0.17346938775510204,3.0
Hawaii Tribune-Herald,agree disagree 16/23,center,https://www.allsides.com/news-source/hawaii-tribune-herald-media-bias,16,23,0.41025641025641024,3.0
Hayes Brown,agree disagree 85/41,left,https://www.allsides.com/news-source/hayes-brown-media-bias,85,41,0.6746031746031746,1.0
Hays Free Press,agree disagree 9/12,center,https://www.allsides.com/news-source/hays-free-press-media-bias,9,12,0.42857142857142855,3.0
Healthcare.gov,agree disagree 348/707,left-center,https://www.allsides.com/news-source/healthcaregov,348,707,0.3298578199052133,2.0
Heart of the Rockies Radio,agree disagree 45/17,center,https://www.allsides.com/news-source/heart-rockies-radio-media-bias,45,17,0.7258064516129032,3.0
Heather Mac Donald,agree disagree 208/308,right,https://www.allsides.com/news-source/heather-mcdonald,208,308,0.40310077519379844,5.0
Heather Thompson Day,agree disagree 39/49,center,https://www.allsides.com/news-source/heather-thompson-day-media-bias,39,49,0.4431818181818182,3.0
Heavy.com,agree disagree 237/303,center,https://www.allsides.com/news-source/heavycom-media-bias,237,303,0.4388888888888889,3.0
Helaine Olen,agree disagree 26/22,left-center,https://www.allsides.com/news-source/helaine-olen-media-bias,26,22,0.5416666666666666,2.0
Helen Andrews,agree disagree 60/69,right-center,https://www.allsides.com/news-source/helen-andrews-media-bias,60,69,0.46511627906976744,4.0
Hendricks County Business Leader,agree disagree 7/10,center,https://www.allsides.com/news-source/hendricks-county-business-leader-media-bias,7,10,0.4117647058823529,3.0
Henry A. Brechter,agree disagree 178/213,center,https://www.allsides.com/news-source/henry-brechter-media-bias,178,213,0.45524296675191817,3.0
Henry Payne (cartoonist),agree disagree 134/204,right,https://www.allsides.com/news-source/henry-payne-cartoonist,134,204,0.39644970414201186,5.0
Henry Windsor,agree disagree 48/45,left-center,https://www.allsides.com/news-source/henry-windsor-media-bias,48,45,0.5161290322580645,2.0
Herald & Review,agree disagree 15/15,center,https://www.allsides.com/news-source/herald-review-media-bias,15,15,0.5,3.0
Herald Democrat,agree disagree 622/479,left,https://www.allsides.com/news-source/herald-democrat-0,622,479,0.5649409627611263,1.0
Herald-Dispatch,agree disagree 49/42,left-center,https://www.allsides.com/news-source/herald-dispatch,49,42,0.5384615384615384,2.0
Herald-Tribune,agree disagree 38/27,left-center,https://www.allsides.com/news-source/herald-tribune-media-bias,38,27,0.5846153846153846,2.0
Heterodox Academy,agree disagree 24/15,center,https://www.allsides.com/news-source/heterodox-academy-media-bias,24,15,0.6153846153846154,3.0
High Point Enterprise,agree disagree 40/40,center,https://www.allsides.com/news-source/high-point-enterprise,40,40,0.5,3.0
High Times,agree disagree 98/90,left-center,https://www.allsides.com/news-source/high-times-media-bias,98,90,0.5212765957446809,2.0
Hill Country Community Journal,agree disagree 10/9,center,https://www.allsides.com/news-source/hill-country-community-journal-media-bias,10,9,0.5263157894736842,3.0
Hindustan Times,agree disagree 143/346,center,https://www.allsides.com/news-source/hindustan-times-media-bias,143,346,0.29243353783231085,3.0
Hingham Anchor,agree disagree 14/12,center,https://www.allsides.com/news-source/hingham-anchor-media-bias,14,12,0.5384615384615384,3.0
Hip Latina,agree disagree 111/56,left,https://www.allsides.com/news-source/hip-latina-media-bias,111,56,0.6646706586826348,1.0
Hirsh Joshi,agree disagree 163/100,left,https://www.allsides.com/news-source/hirsh-joshi-media-bias,163,100,0.6197718631178707,1.0
HNG News,agree disagree 11/10,center,https://www.allsides.com/news-source/hng-news-media-bias,11,10,0.5238095238095238,3.0
Hobbs News-Sun,agree disagree 16/14,center,https://www.allsides.com/news-source/hobbs-news-sun-media-bias,16,14,0.5333333333333333,3.0
Home News Here,agree disagree 12/15,center,https://www.allsides.com/news-source/home-news-here-media-bias,12,15,0.4444444444444444,3.0
Homeland Security Today,agree disagree 40/47,left-center,https://www.allsides.com/news-source/homeland-security-today-media-bias,40,47,0.45977011494252873,2.0
Homer News,agree disagree 12/16,center,https://www.allsides.com/news-source/homer-news-media-bias,12,16,0.42857142857142855,3.0
Honolulu Civil Beat,agree disagree 445/602,center,https://www.allsides.com/news-source/honolulu-civil-beat,445,602,0.4250238777459408,3.0
Honolulu Star-Advertiser,agree disagree 32/36,center,https://www.allsides.com/news-source/honolulu-star-advertiser-media-bias,32,36,0.47058823529411764,3.0
Hot Springs Sentinel-Record,agree disagree 22/23,center,https://www.allsides.com/news-source/hot-springs-sentinel-record-media-bias,22,23,0.4888888888888889,3.0
HotAir,agree disagree 1214/1159,right-center,https://www.allsides.com/news-source/hotair,1214,1159,0.5115887062789718,4.0
Houston Chronicle,agree disagree 287/598,center,https://www.allsides.com/news-source/houston-chronicle-media-bias,287,598,0.32429378531073444,3.0
Houston Public Media,agree disagree 20/78,center,https://www.allsides.com/news-source/houston-public-media-media-bias,20,78,0.20408163265306123,3.0
Howard Kurtz,agree disagree 583/523,center,https://www.allsides.com/news-source/howard-kurtz,583,523,0.527124773960217,3.0
Hudson Crozier,agree disagree 32/43,right-center,https://www.allsides.com/news-source/hudson-crozier-media-bias,32,43,0.4266666666666667,4.0
HuffPost,agree disagree 39719/23220,left,https://www.allsides.com/news-source/huffpost-media-bias,39719,23220,0.6310713548038577,1.0
Human Events,agree disagree 58/63,right-center,https://www.allsides.com/news-source/human-events-media-bias,58,63,0.4793388429752066,4.0
Human Rights Campaign,agree disagree 207/68,left,https://www.allsides.com/news-source/human-rights-campaign-media-bias,207,68,0.7527272727272727,1.0
Hungarian Conservative,agree disagree 17/20,right-center,https://www.allsides.com/news-source/hungarian-conservative-media-bias,17,20,0.4594594594594595,4.0
Hyria Stuart,agree disagree 62/82,left-center,https://www.allsides.com/news-source/hyria-stuart-media-bias,62,82,0.4305555555555556,2.0
i,agree disagree 3/3,center,https://www.allsides.com/news-source/i-media-bias,3,3,0.5,3.0
Ian Rosenzweig,agree disagree 25/24,center,https://www.allsides.com/news-source/ian-rosenzweig-media-bias,25,24,0.5102040816326531,3.0
Idaho Press,agree disagree 25/28,center,https://www.allsides.com/news-source/idaho-press-media-bias,25,28,0.4716981132075472,3.0
Idaho State Journal,agree disagree 20/21,center,https://www.allsides.com/news-source/idaho-state-journal-media-bias,20,21,0.4878048780487805,3.0
Idaho Statesman,agree disagree 198/265,center,https://www.allsides.com/news-source/idaho-statesman-media-bias,198,265,0.42764578833693306,3.0
Ideastream Public Media,agree disagree 12/41,left-center,https://www.allsides.com/news-source/ideastream-public-media-media-bias,12,41,0.22641509433962265,2.0
Illinois Newsroom,agree disagree 8/32,left-center,https://www.allsides.com/news-source/illinois-newsroom-media-bias,8,32,0.2,2.0
In Depth NH,agree disagree 15/35,center,https://www.allsides.com/news-source/depth-nh-media-bias,15,35,0.3,3.0
In This Together,agree disagree 12/20,center,https://www.allsides.com/news-source/together-media-bias,12,20,0.375,3.0
Inacow,agree disagree 455/406,right,https://www.allsides.com/news-source/inacow,455,406,0.5284552845528455,5.0
IncentFit,agree disagree 29/37,center,https://www.allsides.com/news-source/incentfit-media-bias,29,37,0.4393939393939394,3.0
Independent Institute,agree disagree 393/458,right-center,https://www.allsides.com/news-source/independent-institute,393,458,0.4618096357226792,4.0
Independent Journal Review,agree disagree 1460/1425,right,https://www.allsides.com/news-source/independent-journal-review,1460,1425,0.5060658578856152,5.0
Independent Record,agree disagree 27/27,center,https://www.allsides.com/news-source/independent-record-media-bias,27,27,0.5,3.0
Indiana 105,agree disagree 9/10,center,https://www.allsides.com/news-source/indiana-105-media-bias,9,10,0.47368421052631576,3.0
Indiana Daily Student,agree disagree 351/473,center,https://www.allsides.com/news-source/indiana-daily-student,351,473,0.42597087378640774,3.0
Indiana Public Media,agree disagree 18/58,center,https://www.allsides.com/news-source/indiana-public-media-media-bias,18,58,0.23684210526315788,3.0
Indianapolis Business Journal,agree disagree 20/24,center,https://www.allsides.com/news-source/indianapolis-business-journal-media-bias,20,24,0.45454545454545453,3.0
Indianapolis News Source,agree disagree 16/18,center,https://www.allsides.com/news-source/indianapolis-news-source-media-bias,16,18,0.47058823529411764,3.0
Indianapolis Recorder,agree disagree 13/16,center,https://www.allsides.com/news-source/indianapolis-recorder-media-bias,13,16,0.4482758620689655,3.0
Indy Online,agree disagree 370/391,center,https://www.allsides.com/news-source/indy-online,370,391,0.48620236530880423,3.0
Indy Week,agree disagree 389/428,left-center,https://www.allsides.com/news-source/indy-week,389,428,0.47613219094247244,2.0
IndyStar,agree disagree 102/119,center,https://www.allsides.com/news-source/indystar-media-bias,102,119,0.46153846153846156,3.0
Inforum,agree disagree 22/25,center,https://www.allsides.com/news-source/inforum-media-bias,22,25,0.46808510638297873,3.0
